test_date,train_end,calib_start,calib_end,best_alpha,forecast,realized,calib_error,hist_mean_expand,SSE_forecast,SSE_hist,row_num,RMSE_forecast,RMSE_hist,RMSE_diff,Cum_RMSE_diff
1996-01-31,1990-12-31,1991-01-31,1995-12-31,0.012618568830660185,0.7813448157110939,2.811316442241085,0.43649094279451306,0.059427211652767535,4.120784804516816,7.57289433742796,1,2.0299716265299907,2.751889230588317,0.7219176040583264,0.7219176040583264
1996-02-29,1991-01-31,1991-02-28,1996-01-31,0.022051307399030412,-0.7287541262322558,-0.5879611724989352,0.4929140303244648,0.05675205304057041,0.019822655820952946,0.4156551431855534,2,0.09955565232811482,0.4558810936996364,0.3563254413715216,1.078243045429848
1996-03-31,1991-02-28,1991-03-31,1996-02-29,0.01830738280295366,-0.7307842891983579,-0.5667233187140935,0.4867816436519632,0.05418631076997509,0.026916002036238666,0.38552876798604335,3,0.09472064547260128,0.3584823417250578,0.2637616962524565,1.3420047416823044
1996-04-30,1991-03-31,1991-04-30,1996-03-31,0.01830738280295366,-0.728103314393259,-0.2538842109775751,0.4862149217211162,0.05292372666445234,0.22488375804437516,0.09413111060015418,4,0.23710955170784198,0.1534039688210137,-0.08370558288682828,1.2582991587954762
1996-05-31,1991-04-30,1991-05-31,1996-04-30,0.0013530477745798048,-0.8420687966947223,-0.1737152121629779,0.4807863387871489,0.051998669771279156,0.4466965139564316,0.05094675649783172,5,0.2988968096037265,0.1009423166940721,-0.1979544929096544,1.0603446658858218
1996-06-30,1991-05-31,1991-06-30,1996-05-31,0.01830738280295366,-0.7684815028419026,-1.34816673477772,0.48476131750233914,0.04630694048449461,0.33603496812448236,1.9445568309993084,6,0.23665550494494536,0.5692914940226592,0.33263598907771386,1.3929806549635357
1996-07-31,1991-06-30,1991-07-31,1996-06-30,0.0013530477745798048,0.8319909052998812,0.9992840263588326,0.4886262675429713,0.05016514730989679,0.027986988353644982,0.9008266465671085,7,0.06323085633911543,0.3587332169428395,0.29550236060372403,1.6884830155672597
1996-08-31,1991-07-31,1991-08-31,1996-07-31,0.0011233240329780265,0.9087055701263527,0.1393663421095425,0.4892989367602855,0.05052482954699213,0.5918828477655015,0.007892814354401792,8,0.272002492581755,0.0314102179919246,-0.2405922745898304,1.4478907409774293
1996-09-30,1991-08-31,1991-09-30,1996-08-31,0.003430469286314912,-0.6755809815674976,-2.0654366073246737,0.48604120058182027,0.04202699245112199,1.9316986604488717,4.4414028243799555,9,0.4632852085857254,0.702487866591932,0.23920265800620655,1.6870933989836359
1996-10-31,1991-09-30,1991-10-31,1996-09-30,0.007220809018385456,0.8196498674630572,0.12421211029560948,0.5141616870246491,0.04235573292249994,0.48363367409408997,0.006700466516648921,10,0.21991672835282222,0.02588525935092967,-0.19403146900189255,1.4930619299817434
1996-11-30,1991-10-31,1991-11-30,1996-10-31,0.007220809018385456,-0.7352687908544534,-1.281108404647154,0.5205968090482013,0.03708296743417462,0.29794088398536445,1.7376284934296555,11,0.16457683587844435,0.3974496530070485,0.23287281712860414,1.7259347471103474
1996-12-31,1991-11-30,1991-12-31,1996-11-30,0.003430469286314912,-0.7471441627217211,-0.6501175710526889,0.5232701776564264,0.03435598117033786,0.009414159490909122,0.4685040436928085,12,0.02800916440933384,0.19759049481457194,0.1695813304052381,1.8955160775155855
1997-01-31,1991-12-31,1992-01-31,1996-12-31,0.012618568830660185,-0.7362684399292068,-4.730158784609445,0.5117428228709985,0.015523906997295243,15.951160085330034,22.521504209415795,13,1.107705878948088,1.3162155601284662,0.20850968118037816,2.104025758695964
1997-02-28,1992-01-31,1992-02-29,1997-01-31,0.0001,0.7880803578966022,2.7547623036745112,0.7642861737200108,0.026308310133819717,3.867837875848782,7.444461194868148,14,0.5256178592753472,0.7292100028145991,0.20359214353925192,2.3076179022352155
1997-03-31,1992-02-29,1992-03-31,1997-02-28,0.0001,-0.7884550386559223,-1.291509967229961,0.8249737420900419,0.02114039532062842,0.25306426116263125,1.723050974304194,15,0.12988822403965425,0.3389248662367707,0.20903664219711646,2.516654544432332
1997-04-30,1992-03-31,1992-04-30,1997-03-31,0.0001,-0.794612578752928,-0.8325584754430781,0.8282946676065334,0.01780563410670769,0.0014398910756195473,0.7231191188104001,16,0.009486474172537535,0.21259102738744645,0.20310455321490892,2.719759097647241
1997-05-31,1992-04-30,1992-05-31,1997-04-30,0.0001,0.814719166741275,0.35484839406771895,0.8281390590253417,0.019117084534571546,0.21148112755937346,0.11271551220084203,17,0.11153504528632231,0.08142680300188848,-0.03010824228443383,2.689650855362807
1997-06-30,1992-05-31,1992-06-30,1997-05-31,0.0001,-0.797592497046728,-0.9930368433154956,0.8259692963312799,0.015194007294842604,0.03819849248842594,1.016529448122446,18,0.04606667419707243,0.23764229048935037,0.19157561629227793,2.881226471655085
1997-07-31,1992-06-30,1992-07-31,1997-06-30,0.0001,-0.7999212403411768,-1.3158920668971348,0.8258291882712121,0.010054678823058908,0.2662258938568384,1.758134772485972,19,0.11837182583013543,0.30419304574268136,0.1858212199125459,3.0670476915676312
1997-08-31,1992-07-31,1992-08-31,1997-07-31,0.002848035868435799,0.8020707852156395,0.0883345299321248,0.8147241281885812,0.010355755173478393,0.5094194421061344,0.006080689312859711,20,0.15959627848200822,0.017436584116247815,-0.1421596943657604,2.9248879972018704
1997-09-30,1992-08-31,1992-09-30,1997-08-31,0.01830738280295366,0.7760129384030005,0.8191043761823362,0.8014009176036947,0.013454408893818843,0.0018568720098903664,0.649071869791989,21,0.009403322639442189,0.17580723613039653,0.16640391349095435,3.091291910692825
