Date,GC1_volatility,GC2_volatility
1975-01-31,,
1975-02-28,,
1975-03-31,0.1622286632481715,0.1611819090662463
1975-04-30,0.18008990525671517,0.18799437924758286
1975-05-31,0.18058541464237854,0.18320637696105485
1975-06-30,0.15551150111631915,0.1701864777723918
1975-07-31,0.14041017345438334,0.14954501511134335
1975-08-31,0.14987358788524763,0.15780743454981422
1975-09-30,0.2562435780715004,0.25711092615312703
1975-10-31,0.28900270206863676,0.22729750468120707
1975-11-30,0.2458396492226942,0.20265007474209215
1975-12-31,0.24857034562473293,0.21957363962313098
1976-01-31,0.25075617766519076,0.23626675741460718
1976-02-29,0.21172176479962393,0.19936799676760517
1976-03-31,0.1790489341871168,0.16966386972521846
1976-04-30,0.1486996960569302,0.14142006726504
1976-05-31,0.12736042976799847,0.12587998732968184
1976-06-30,0.11276288171499463,0.11671771926514192
1976-07-31,0.2288864443230105,0.22761453171564858
1976-08-31,0.23075698697568223,0.22729278440772802
1976-09-30,0.28878989082602385,0.2885109500190495
1976-10-31,0.24199948657213752,0.2744957593028527
1976-11-30,0.2642794742083034,0.2835301225673256
1976-12-31,0.256420944286531,0.2512225422147255
1977-01-31,0.23720315272112205,0.23621631568737692
1977-02-28,0.1976638060538798,0.19349296804341407
1977-03-31,0.19454403261426834,0.19260501128985763
1977-04-30,0.18023467954281777,0.17553854166836882
1977-05-31,0.15089501828152743,0.14687693727280762
1977-06-30,0.15841502443739783,0.15775264230271838
1977-07-31,0.1467784099285662,0.1457908318699789
1977-08-31,0.12949811114209397,0.1295966682645368
1977-09-30,0.1132765725867339,0.11314449583674276
1977-10-31,0.14018343129921496,0.1465488885892063
1977-11-30,0.20536634236717016,0.20813833599330228
1977-12-31,0.1870547478808029,0.19197679306897705
1978-01-31,0.18753483368310475,0.1883088353106502
1978-02-28,0.17080840727446236,0.1809527665607855
1978-03-31,0.20171473157677544,0.20602784564946358
1978-04-30,0.20823013063668128,0.2183602648470043
1978-05-31,0.1738990910095886,0.179346484833037
1978-06-30,0.1395985731459551,0.13753271014161464
1978-07-31,0.16082526336955136,0.16415416311270978
1978-08-31,0.1860939640894758,0.22207310465696153
1978-09-30,0.18285114374167225,0.20511788922420754
1978-10-31,0.178631648349312,0.24096666099438746
1978-11-30,0.2975951892673373,1.029545603666919
1978-12-31,0.3057520082770637,0.7813685521422076
1979-01-31,0.25932561322489023,0.5715122195620691
1979-02-28,0.29683167910965175,0.4870036654333009
1979-03-31,0.25594001826888757,0.3724702859466996
1979-04-30,0.23543846177760538,0.34687285651619937
1979-05-31,0.210995310295107,0.2758164806599756
1979-06-30,0.193679946341998,0.2327328151962867
1979-07-31,0.2100834423237322,0.23353146181952955
1979-08-31,0.22109018033202202,0.23828677196312145
1979-09-30,0.29257347602172146,0.2694140466125487
1979-10-31,0.45145929554734565,0.4316844143462397
1979-11-30,0.3809361313087061,0.37038894010265444
1979-12-31,0.3540279896235697,0.3447607185062964
1980-01-31,0.6628940793393372,0.6155470510796675
1980-02-29,0.6155153008140108,0.5441902777411203
1980-03-31,0.7488406124417543,0.649706032740901
1980-04-30,0.6281766039928022,0.5779015434695222
1980-05-31,0.48642441269154263,0.4522723270915638
1980-06-30,0.4243342736206347,0.4341292856791679
1980-07-31,0.3873649567103854,0.3947831824510373
1980-08-31,0.3375238741409081,0.34071936226420324
1980-09-30,0.34507842013433915,0.33762510775901655
1980-10-31,0.28820575119285297,0.2864937661814475
1980-11-30,0.2874515296951605,0.28869639498158217
1980-12-31,0.3377093745919178,0.342504229801455
1981-01-31,0.32619977779041853,0.33039887989722405
1981-02-28,0.3168896548818583,0.3144785095550515
1981-03-31,0.33708190329419846,0.33579674512215196
1981-04-30,0.306041290554654,0.29587878866765327
1981-05-31,0.2777697614786839,0.2513270939275464
1981-06-30,0.24259195105224463,0.22794504195287332
1981-07-31,0.24047342759385035,0.21647778383318309
1981-08-31,0.2655012906677992,0.31286641274723337
1981-09-30,0.2883073256573015,0.3136963633296917
1981-10-31,0.24530562736940678,0.35005630676935007
1981-11-30,0.24455334823389507,0.3107758794438481
1981-12-31,0.2329434744993841,0.2811376507960596
1982-01-31,0.21581289318395303,0.24462832055531053
1982-02-28,0.19881256720088059,0.22033228851910794
1982-03-31,0.27378486870291036,0.2815411357562894
1982-04-30,0.3520328095437786,0.3502876727636357
1982-05-31,0.2915572455254489,0.29077788326832527
1982-06-30,0.29253064824441455,0.307350869424382
1982-07-31,0.3522700644345105,0.35711641918028625
1982-08-31,0.3602278924329574,0.39992803642364927
1982-09-30,0.4502340951467023,0.4637589576865962
1982-10-31,0.4971744894027522,0.4560508987451057
1982-11-30,0.4083022136393558,0.37969428115180515
1982-12-31,0.3523289477182686,0.3215142591051236
1983-01-31,0.3076738924168468,0.290368115742774
1983-02-28,0.3186607382797705,0.31895749882287494
1983-03-31,0.28987350385705035,0.2907234427326091
1983-04-30,0.25066991048566206,0.25104170178553353
1983-05-31,0.196766179875586,0.19711694926672377
1983-06-30,0.19222749367379824,0.1964756944172394
1983-07-31,0.20360070418655823,0.2059810772155772
1983-08-31,0.17145324437588766,0.17493615128259252
1983-09-30,0.15228090687584428,0.15526637413848793
1983-10-31,0.18579778175023073,0.19179906420182696
1983-11-30,0.20929035667090046,0.2111810258021171
1983-12-31,0.20722132853755726,0.21674634559974693
1984-01-31,0.1747533511610352,0.18056610948719282
1984-02-29,0.17650603777324503,0.1761094843424288
1984-03-31,0.15127483819273077,0.1517479790142265
1984-04-30,0.13921711079437624,0.14864388768673273
1984-05-31,0.14005068503586626,0.14366175712026732
