test_date,train_end,calib_start,calib_end,best_alpha,forecast,realized,calib_error,hist_mean_expand,SSE_forecast,SSE_hist,row_num,Cum_SSE_forecast,Cum_SSE_hist,RMSE_forecast,RMSE_hist,RMSE_diff,Cum_RMSE_diff,R_Sq_OOS
1996-01-31,1990-12-31,1991-01-31,1995-12-31,12.32846739442066,0.7267917023485172,2.5931476551265407,0.4529384181796811,-0.029337306196396948,3.4832845424699643,6.87742737236497,1,3.4832845424699643,6.87742737236497,1.8663559527780236,2.6224849613229377,0.7561290085449142,0.7561290085449142,0.49351925453017864
1996-02-29,1991-01-31,1991-02-28,1996-01-31,8.497534359086439,-0.752886186751549,-0.7503866571070781,0.5044530796466776,-0.032329212216773213,6.247648443588653e-06,0.5156064941623932,2,3.483290790118408,7.393033866527363,0.0017674343613821495,0.5077432885634202,0.5059758542020381,1.2621048627469522,0.5288414941679997
1996-03-31,1991-02-28,1991-03-31,1996-02-29,8.497534359086439,-0.7482034176218926,-0.6920359116169436,0.5022926652671115,-0.03505527295809623,0.003154788730815984,0.43162355957258697,3,3.486445578849224,7.82465742609995,0.03242832471166724,0.3793079485820578,0.34687962387039056,1.6089844866173428,0.5544283424831066
1996-04-30,1991-03-31,1991-04-30,1996-03-31,7.054802310718638,-0.7520524567912263,-0.38368744967068613,0.5010449127362314,-0.036489973273785906,0.13569277847091565,0.1205460876163761,4,3.6221383573201393,7.945203513716327,0.1841825035602701,0.17359873819845012,-0.010583765361819986,1.5984007212555227,0.5441100594758832
1996-05-31,1991-04-30,1991-05-31,1996-04-30,5.857020818056661,-0.7555743641202132,-0.3275543516144153,0.491091427940178,-0.0376828600702639,0.18320113110546335,0.08402548161003105,5,3.805339488425603,8.029228995326358,0.1914163687386548,0.12963447196639563,-0.061781896772259176,1.5366188244832637,0.5260641475488357
1996-06-30,1991-05-31,1991-06-30,1996-05-31,4.862601580065348,-0.7937791965195459,-1.4999105947100628,0.49131473986724306,-0.04365113653818144,0.4986215515104944,2.1206916095150614,6,4.303961039936097,10.14992060484142,0.2882769361541359,0.594515434270502,0.3062384981163661,1.8428573225996296,0.5759611126531229
1996-07-31,1991-06-30,1991-07-31,1996-06-30,1.5922827933410906,0.7864375509855094,0.7852717044893536,0.4969769186948337,-0.04028153149335406,1.3591980525987769e-06,0.68153814544152,7,4.30396239913415,10.83145875028294,0.0004406485565291844,0.31202979377926626,0.31158914522273706,2.1544464678223667,0.6026424050203097
1996-08-31,1991-07-31,1991-08-31,1996-07-31,0.6280291441834247,-0.7778916215349282,-0.078171556180953,0.49641153297541085,-0.04043493240302045,0.4896081698589714,0.0014240527741572247,8,4.793570568993121,10.832882803057096,0.24738840157204506,0.013341911286230811,-0.23404649028581426,1.9203999775365526,0.557498160356692
1996-09-30,1991-08-31,1991-09-30,1996-08-31,4.037017258596554,-0.7607716720715711,-2.294659595037524,0.49503949626881927,-0.04952454797815958,2.3528121602208047,5.040631379534254,9,7.146382729213926,15.87351418259135,0.5112959743219843,0.7483783490197882,0.2370823746978039,2.1574823522343562,0.549792021665156
1996-10-31,1991-09-30,1991-10-31,1996-09-30,0.0001,-0.7887103612638761,-0.14117379269406882,0.5283505503181107,-0.04989261723404677,0.41930360763516067,0.008332252993363333,10,7.565686336849087,15.881846435584713,0.20476904249303915,0.028865642195113783,-0.17590340029792537,1.981578951936431,0.523626779320981
1996-11-30,1991-10-31,1991-11-30,1996-10-31,0.0001,-0.7815804543004036,-1.5272824217011733,0.5351031474189288,-0.05580217645191527,0.5560714241853787,2.165254112158817,11,8.121757761034466,18.04710054774353,0.22483760284528975,0.4436679872647212,0.21883038441943142,2.2004093363558623,0.5499688307521537
1996-12-31,1991-11-30,1991-12-31,1996-11-30,0.0001,-0.7897018196807144,-0.8707635509175704,0.542592087097108,-0.059049034517515496,0.006571004271116276,0.6588804561345749,12,8.128328765305582,18.705981003878104,0.023400506175287956,0.2343217972743493,0.21092129109906133,2.411330627454924,0.5654689928520495
1997-01-31,1991-12-31,1992-01-31,1996-12-31,0.0001,-0.7905751435871344,-4.955811643560978,0.5319149083441015,-0.07848063217244987,17.34919510071435,23.788357794652235,13,25.477523866019933,42.494338798530336,1.1552287519299886,1.3527282345363056,0.197499482606317,2.6088301100612408,0.40044898717423816
1997-02-28,1992-01-31,1992-02-29,1997-01-31,0.0001,0.7711398424608943,2.6217632817262766,0.8075386645516714,-0.06780773132700035,3.4248071139584324,7.233792234256431,14,28.902330979978366,49.72813103278677,0.49459991869030817,0.7188180891602762,0.22421817046996806,2.8330482805312087,0.4187931382154203
1997-03-31,1992-02-29,1992-03-31,1997-02-28,0.0001,-0.8275141529276114,-1.4020493267951863,0.8637174724845429,-0.07306065099419792,0.33009066601104453,1.7662109004072646,15,29.232421645989408,51.494341933194036,0.14834434401330002,0.34314340057836507,0.19479905656506505,3.027847337096274,0.43231779359538247
1997-04-30,1992-03-31,1992-04-30,1997-03-31,0.0001,-0.8335641267853754,-0.9281192619706189,0.8659799931864224,-0.07641382201763489,0.008940673589899674,0.725402156445506,16,29.24136231957931,52.21974408963954,0.023638783796310875,0.212926359988246,0.18928757619193512,3.217134913288209,0.4400324469345527
1997-05-31,1992-04-30,1992-05-31,1997-04-30,0.0001,0.7937433195799127,0.24585739907300866,0.8658711612114222,-0.07515495006024955,0.30017898188969766,0.10304892829605286,17,29.541541301469007,52.322793017935595,0.13288185417874862,0.07785693074141632,-0.0550249234373323,3.162109989850877,0.43539823473600625
