Dates,FEDL01 Index,daily_risk_free_ret,1M_risk_free_ret_realized
1985-12-31,8.413181818181819,0.0003222921892571552,0.0003222921892571552
1986-01-31,8.212608695652174,0.00031460984213148654,0.00031460984213148654
1986-02-28,7.867,0.00030137220735501304,0.0006159820494864996
1986-03-31,7.515714285714285,0.0002879169496883285,0.0002879169496883285
1986-04-30,7.044545454545454,0.0002698695380531178,0.0005577864877414463
1986-05-31,6.869999999999999,0.0002631837549217813,0.0002631837549217813
1986-06-30,6.951428571428571,0.00026630279770385154,0.0005294865526256328
1986-07-31,6.5752173913043475,0.00025189231044907214,0.00025189231044907214
1986-08-31,6.171904761904763,0.0002364434918507451,0.0002364434918507451
1986-09-30,5.913181818181818,0.00022653302980740517,0.0004629765216581503
1986-10-31,5.858260869565218,0.00022442925331795863,0.00022442925331795863
1986-11-30,6.0840000000000005,0.00023307628388840037,0.000457505537206359
1986-12-31,7.179130434782609,0.00027502464602024345,0.00027502464602024345
1987-01-31,6.553636363636364,0.0002510656590629672,0.0002510656590629672
1987-02-28,6.1175,0.00023435950884485144,0.00048542516790781867
1987-03-31,6.153636363636363,0.00023574371845121942,0.00023574371845121942
1987-04-30,6.4363636363636365,0.00024657356898066666,0.0004823172874318861
1987-05-31,6.822857142857143,0.0002613779888644592,0.0002613779888644592
1987-06-30,6.725909090909091,0.0002576644679781338,0.000519042456842593
1987-07-31,6.583913043478261,0.00025222539323199267,0.00025222539323199267
1987-08-31,6.744761904761904,0.00025838661165525687,0.00025838661165525687
1987-09-30,7.267727272727272,0.00027841822167904025,0.0005368048333342971
1987-10-31,7.283181818181817,0.00027901018484577063,0.00027901018484577063
1987-11-30,6.675238095238096,0.00025572354880561225,0.0005347337336513828
1987-12-31,6.769565217391304,0.00025933668417753845,0.00025933668417753845
1988-01-31,6.855714285714286,0.00026263655343049936,0.00026263655343049936
1988-02-29,6.577142857142857,0.0002519660645034868,0.0005146026179339862
1988-03-31,6.588260869565217,0.0002523919345817379,0.0002523919345817379
1988-04-30,6.891904761904762,0.0002640227966265446,0.0005164147312082825
1988-05-31,7.069090909090909,0.00027080972272102707,0.00027080972272102707
1988-06-30,7.532272727272727,0.0002885511899006603,0.0005593609126216874
1988-07-31,7.7457142857142856,0.00029672663458537825,0.00029672663458537825
1988-08-31,8.000869565217391,0.00030649975078891325,0.00030649975078891325
1988-09-30,8.200909090909091,0.00031416172231781074,0.0006206614731067239
1988-10-31,8.29047619047619,0.0003175923281357582,0.0003175923281357582
1988-11-30,8.35590909090909,0.00032009853659468383,0.000637690864730442
1988-12-31,8.770454545454545,0.0003359762948484754,0.0003359762948484754
1989-01-31,9.143636363636363,0.00035026954361888087,0.00035026954361888087
1989-02-28,9.368500000000001,0.0003588819543201767,0.0007091514979390576
1989-03-31,9.864782608695652,0.000377889610216868,0.000377889610216868
1989-04-30,9.839,0.00037690214353944875,0.0007547917537563168
1989-05-31,9.828695652173913,0.0003765074896366449,0.0003765074896366449
1989-06-30,9.526363636363637,0.00036492818095058604,0.000741435670587231
1989-07-31,9.231428571428571,0.00035363204609748335,0.00035363204609748335
1989-08-31,9.003478260869565,0.0003449013675915748,0.0003449013675915748
1989-09-30,9.026190476190477,0.0003457712669525024,0.0006906726345440773
1989-10-31,8.83909090909091,0.000338605153742375,0.000338605153742375
1989-11-30,8.575454545454546,0.00032850751233543565,0.0006671126660778106
1989-12-31,8.507142857142858,0.0003258910625103724,0.0003258910625103724
1990-01-31,8.239999999999998,0.00031565898672006955,0.00031565898672006955
1990-02-28,8.244,0.00031581219504421575,0.0006314711817642852
1990-03-31,8.282727272727273,0.00031729552896749913,0.00031729552896749913
1990-04-30,8.268095238095238,0.0003167350923088368,0.000634030621276336
1990-05-31,8.156086956521738,0.00031244493712002827,0.00031244493712002827
1990-06-30,8.295238095238094,0.000317774718642436,0.0006302196557624643
1990-07-31,8.155,0.00031240330428549957,0.00031240330428549957
1990-08-31,8.150434782608697,0.0003122284463611519,0.0003122284463611519
1990-09-30,8.2555,0.0003162526688449414,0.0006284811152060933
1990-10-31,8.138695652173913,0.00031177881155824186,0.00031177881155824186
