Date,GC1_Monthly_Return,GC2_Monthly_Return,GC1_OPEN_INT,SPX Index,NDX Index,DXY Curncy,USGG10YR Index,USGG2YR Index,VIX Index,JPY Curncy,LEGATRUU Index,EMUSTRUU Index,GC2_OPEN_INT,PE_RATIO,PX_LAST,D/P Ratio,CPI YOY Index,PCE CYOY Index,GDP_Nominoal_YOY,GDP_Real_QoQ,CPI_YoY,US_Unemp,Cons_Conf,US_RIR,1M_risk_free_ret_realized
1975-01-03,-0.0022870735902236206,-0.00393590612123873,,0.00681137858616232,,-0.005541886104904137,0.0013464388731319055,,,0.0005985037585141129,,,,,-0.021277398447284934,,,,,,,,,,
1975-01-06,-0.0017187228965065415,-0.003951458711927813,,0.005078315364925423,,-0.0056762627250872555,-0.00539666717215459,,,0.0005981457660144684,,,,,-0.0641403527070672,,,,,,,,,,
1975-01-07,-0.005750447326843933,-0.005672164952466474,,-0.0007038215654846525,,0.0002069750602444742,-0.0013537297315762142,,,-0.00029902816071292193,,,,,-0.07263918363997135,,,,,,,,,,
1975-01-08,0.02280600630924212,0.025829622377447237,,-0.01389496357811204,,0.005160502731094141,0.0013537297315762142,,,-0.0005983247087151256,,,,,-0.35471990910292917,,,,,,,,,,
1975-01-09,0.00506050564106264,0.0027677847727263227,,0.01600483151424381,,-0.0020610065003694444,-0.005425949285996934,,,0.00029920710341357903,,,,,0.35060185249401155,,,,,,,,,,
1975-01-10,0.016685592613295164,0.01590381752033654,,0.0200313139549122,,-0.0008255934421468325,0.002716654754190806,,,0.0,,,,,-0.004135085147802808,,,,,,,,,,
1975-01-13,-0.015004432270941948,-0.013143672240549797,,-0.004140262636195047,,0.0012381347021230837,0.012134434991389442,,,0.0002991176053015465,,,,,0.005509655810969516,,,,,,,,,,
1975-01-14,0.0,-0.0011031440721573915,,-0.008750635861493272,,0.0042187642959019556,0.0040123097828757,,,0.0,,,,,-0.02644552166455849,,,,,,,,,,
1975-01-15,-0.007305472036387428,-0.006644542718668767,,0.006396892946782806,,-0.0028791793668450083,0.006651614254323146,,,0.00029902816071292193,,,,,0.014005831188919293,,,,,,,,,,
1975-01-16,-0.012485956442696455,-0.012860115729604438,,-0.001248297530175968,,-0.0019584606579376995,0.0,,,-0.0008973528694280475,,,,,-0.03251169738662707,,,,,,,,,,
