Date,GC1_Monthly_Return,GC1_3M_Fwd_Ret,
31/1/1975,0.002282,0.011357,0.011357
28/2/1975,0.041847,-0.050844,-0.050844
31/3/1975,-0.032772,-0.094491,-0.094491
30/4/1975,-0.059919,-0.053942,
31/5/1975,-0.0018,0.004785,
