test_date,train_end,calib_start,calib_end,best_alpha,forecast,realized,calib_error,hist_mean,SSE_forecast,SSE_hist,row_num,Cum_SSE_forecast,Cum_SSE_hist,RMSE_forecast,RMSE_hist,RMSE_diff,Cum_RMSE_diff,R_Sq_OOS
1996-01-31,1990-12-31,1991-01-31,1995-12-31,12.32846739442066,0.7267917023485172,2.5931476551265407,0.4529384181796811,0.18893212963412612,3.4832845424699643,5.780252293018767,1,3.4832845424699643,5.780252293018767,1.8663559527780236,2.4042155254924147,0.5378595727143911,0.5378595727143911,0.39738191935376566
1996-02-29,1991-01-31,1991-02-28,1996-01-31,8.497534359086439,-0.752886186751549,-0.7503866571070781,0.5044530796466776,0.10475453385661516,6.247648443588653e-06,0.7312664564828036,2,3.483290790118408,6.511518749501571,0.0017674343613821495,0.6046761350023678,0.6029087006409857,1.1407682733553768,0.4650570897327081
1996-03-31,1991-02-28,1991-03-31,1996-02-29,8.497534359086439,-0.7482034176218926,-0.6920359116169436,0.5022926652671115,-0.06095612945477109,0.003154788730815984,0.398261691453855,3,3.486445578849224,6.909780440955426,0.03242832471166724,0.36435408211146064,0.3319257573997934,1.4726940307551701,0.49543323284420493
1996-04-30,1991-03-31,1991-04-30,1996-03-31,7.054802310718638,-0.7520524567912263,-0.38368744967068613,0.5010449127362314,-0.058980212032486344,0.13569277847091565,0.10543479017463037,4,3.6221383573201393,7.015215231130057,0.1841825035602701,0.1623536188190999,-0.0218288847411702,1.450865146014,0.4836739518344526
1996-05-31,1991-04-30,1991-05-31,1996-04-30,5.857020818056661,-0.7555743641202132,-0.3275543516144153,0.491091427940178,-0.03624074299722968,0.18320113110546335,0.08486361856556682,5,3.805339488425603,7.100078849695623,0.1914163687386548,0.1302794063277591,-0.061136962410895695,1.3897281836031044,0.46404264389419614
1996-06-30,1991-05-31,1991-06-30,1996-05-31,4.862601580065348,-0.7937791965195459,-1.4999105947100628,0.49131473986724306,-0.1610278980005754,0.4986215515104944,1.792606875548069,6,4.303961039936097,8.892685725243693,0.2882769361541359,0.546596572063295,0.25831963590915913,1.6480478195122634,0.516011115998575
1996-07-31,1991-06-30,1991-07-31,1996-06-30,1.5922827933410906,0.7864375509855094,0.7852717044893536,0.4969769186948337,-0.04537807274337726,1.3591980525987769e-06,0.6899790524167854,7,4.30396239913415,9.582664777660478,0.0004406485565291844,0.31395610530700113,0.31351545675047193,1.9615632762627353,0.5508595470053661
1996-08-31,1991-07-31,1991-08-31,1996-07-31,0.6280291441834247,-0.7778916215349282,-0.078171556180953,0.49641153297541085,-0.05271915269880817,0.4896081698589714,0.0006478248430178986,8,4.793570568993121,9.583312602503495,0.24738840157204506,0.008998783549860355,-0.2383896180221847,1.7231736582405506,0.4998002498905365
1996-09-30,1991-08-31,1991-09-30,1996-08-31,4.037017258596554,-0.7607716720715711,-2.294659595037524,0.49503949626881927,-0.22366186009694414,2.3528121602208047,4.289031618129012,9,7.146382729213926,13.872344220632506,0.5112959743219843,0.6903325783135266,0.1790366039915423,1.9022102622320929,0.48484678468509856
1996-10-31,1991-09-30,1991-10-31,1996-09-30,0.0001,-0.7887103612638761,-0.14117379269406882,0.5283505503181107,-0.21557602626476413,0.41930360763516067,0.0055356923603083,10,7.565686336849087,13.877879912992816,0.20476904249303915,0.023528052108723958,-0.18124099038431518,1.7209692718477778,0.4548384634913937
