Dates,FEDL01 Index,daily_risk_free_ret,1M_risk_free_ret_realized
1975-01-24,7.0,0.00026816327473139207,
1975-01-27,7.18,0.0002750579535332383,
1975-01-28,7.12,0.00027275973254772216,
1975-01-29,6.6,0.00025284159608784154,
1975-01-30,6.81,0.0002608855066465393,
1975-01-31,6.76,0.0002589702957157509,0.006204512079601574
1975-02-03,6.73,0.00025782116739657515,0.005665897569222272
1975-02-04,6.58,0.00025207550599339664,0.005917973075215669
1975-02-05,4.84,0.0001854234210417148,0.006103396496257384
1975-02-06,6.21,0.00023790273338312944,0.006040578167227246
1975-02-07,6.17,0.0002363705297181185,0.005997294317286715
1975-02-10,6.38,0.00024441457276915923,0.005489698101876161
1975-02-11,6.48,0.0002482450467175152,0.005737943148593676
1975-02-12,6.36,0.0002436484762188256,0.005981591624812502
1975-02-13,6.33,0.0002424993302927682,0.005945202645000324
1975-02-14,6.29,0.0002409671336704471,0.0059145591585964925
1975-02-17,6.29,0.0002409671336704471,0.005347206107246607
1975-02-18,6.22,0.00023828578393267344,0.00558549189117928
1975-02-19,6.31,0.00024173323227517194,0.0058272251234544525
1975-02-20,6.17,0.0002363705297181185,0.005793900223488317
1975-02-21,6.14,0.00023522137542860327,0.0057548297184588
1975-02-24,6.0,0.0002298586379504131,0.00513231969470817
1975-02-25,5.96,0.00022832642195992866,0.005360646116668099
1975-02-26,6.48,0.0002482450467175152,0.0056088911633856145
1975-02-27,6.01,0.0002302416915810421,0.005564074901433419
1975-02-28,6.07,0.00023254001028437735,0.005523855179170073
1975-03-03,6.06,0.00023215695753390486,0.00472549357085727
1975-03-04,5.91,0.00022641114867055046,0.0046998292135344245
1975-03-05,5.0,0.00019155253386803062,0.004705958326360739
1975-03-06,5.7,0.00021836696079730508,0.004686422553774916
1975-03-07,5.78,0.0002214314209505429,0.00467148344500734
1975-03-10,5.68,0.00021760084429171825,0.0046446697165298985
1975-03-11,5.41,0.00020725821401911606,0.0046036828838315
1975-03-12,3.96,0.00015171262898805698,0.004511747036600731
1975-03-13,5.49,0.00021032270821480265,0.0044795704145227655
1975-03-14,5.44,0.00020840740044304897,0.004447010681295368
1975-03-17,5.5,0.0002107057693288121,0.0044167493169537326
1975-03-18,5.43,0.00020802433844840058,0.00438648787146946
1975-03-19,4.95,0.00018963719014524432,0.004334391829339532
1975-03-20,5.46,0.00020917352399191455,0.004307194823613329
1975-03-21,5.52,0.00021147189111684586,0.004283445339301571
1975-03-24,5.68,0.00021760084429171825,0.0042711875456428764
1975-03-25,5.38,0.00020610902627455217,0.004248970149957499
1975-03-26,5.6,0.00021453637239979043,0.004215261475639775
1975-03-27,5.51,0.00021108883029630782,0.00419610861435504
1975-03-28,5.73,0.00021951613445529526,0.004183084738525958
1975-03-31,5.39,0.00020649208900266243,0.004389576827528621
1975-04-01,5.48,0.0002099396469538353,0.0045995164744824565
1975-04-02,5.55,0.00021262107269849127,0.0048121375471809474
1975-04-03,5.41,0.00020725821401911606,0.004787238803666158
1975-04-04,5.25,0.00020112919745422493,0.004761956852449833
1975-04-07,5.37,0.0002057259633994828,0.004336331900233438
1975-04-08,5.22,0.0001999800026662447,0.0045363119028996824
1975-04-09,5.18,0.00019844774089474048,0.004734759643794423
1975-04-10,5.31,0.000203427583068247,0.004720586382570951
1975-04-11,5.39,0.00020649208900266243,0.004719820257554497
1975-04-14,5.46,0.00020917352399191455,0.004358551043900504
1975-04-15,5.48,0.0002099396469538353,0.00456849069085434
1975-04-16,5.69,0.00021798390261798948,0.004786474593472329
1975-04-17,5.59,0.00021415331275313353,0.00478992213689665
1975-04-18,5.57,0.00021338719301917133,0.004795284991467421
1975-04-21,5.56,0.00021300413293230984,0.004398006519145726
1975-04-22,5.34,0.00020457677389407292,0.0046025832930397985
1975-04-23,5.57,0.00021338719301917133,0.00481597048605897
1975-04-24,5.54,0.00021223801231815947,0.004810607654085411
1975-04-25,5.47,0.000209556585546132,0.00481405521335699
1975-04-28,5.5,0.0002107057693288121,0.004379619645534409
1975-04-29,5.46,0.00020917352399191455,0.004588793169526324
1975-04-30,7.03,0.00026931239116600563,0.00485810556069233
1975-05-01,5.55,0.00021262107269849127,0.004654294897434324
1975-05-02,5.49,0.00021032270821480265,0.004651996532950634
1975-05-05,5.41,0.00020725821401911606,0.004450867335496409
1975-05-06,5.35,0.0002049598372093543,0.004655827172705763
1975-05-07,5.16,0.00019768160912833068,0.004647782818434612
1975-05-08,5.37,0.0002057259633994828,0.00465352877916785
1975-05-09,5.24,0.0002007461326715629,0.004655827170944672
1975-05-12,5.25,0.00020112919745422493,0.004447036696327987
1975-05-13,5.12,0.00019614934383507915,0.004643186040163066
1975-05-14,4.95,0.00018963719014524432,0.004623649706316397
1975-05-15,5.09,0.00019500014332425955,0.004608710202686821
1975-05-16,5.1,0.00019538321030801364,0.004586109510376845
1975-05-19,5.13,0.0001965324103786128,0.004355101414983153
1975-05-20,5.03,0.00019270173834084933,0.004547803153324002
1975-05-21,5.36,0.00020534290037789823,0.004540141920769591
1975-05-22,5.05,0.00019346787392228237,0.0045290330207978
1975-05-23,5.07,0.00019423400891675215,0.004509879836695381
1975-05-26,5.07,0.00019423400891675215,0.004282319247747843
1975-05-27,5.11,0.00019576627714480547,0.004478085524892648
1975-05-28,5.54,0.00021223801231815947,0.004479617767881994
1975-05-29,5.16,0.00019768160912833068,0.004468125853018411
1975-05-30,5.23,0.00020036306774238422,0.0043991765295947885
1975-06-02,5.37,0.0002057259633994828,0.004181958712080978
1975-06-03,5.35,0.0002049598372093543,0.004386918549290332
1975-06-04,5.12,0.00019614934383507915,0.004583067893125411
1975-06-05,5.17,0.00019806467508490531,0.004573874354191199
1975-06-06,5.2,0.00019921387207397085,0.0045681283890558165
1975-06-09,5.18,0.00019844774089474048,0.004162422424751181
1975-06-10,5.06,0.0001938509414927766,0.004356273366243958
1975-06-11,5.06,0.0001938509414927766,0.0045501243077367345
1975-06-12,5.18,0.00019844774089474048,0.00454744285117725
1975-06-13,5.2,0.00019921387207397085,0.004550507379416142
1975-06-16,5.34,0.00020457677389407292,0.004175063609532697
1975-06-17,5.43,0.00020802433844840058,0.004383087947981097
1975-06-18,5.59,0.00021415331275313353,0.00459724126073423
1975-06-19,5.43,0.00020802433844840058,0.00460873318880402
1975-06-20,5.55,0.00021262107269849127,0.00462865252316166
1975-06-23,5.89,0.0002256450383277263,0.004261252778272455
1975-06-24,5.95,0.00022794336759564783,0.004489196145868103
1975-06-25,6.13,0.00023483832370545588,0.004724034469573559
1975-06-26,6.31,0.00024173323227517194,0.004771533692931979
1975-06-27,6.61,0.0002532246409150898,0.0048289920567022625
1975-06-30,5.97,0.00022870947617770088,0.004447418843691089
1975-07-01,6.12,0.0002344552718353578,0.004681874115526447
1975-07-02,5.97,0.00022870947617770088,0.004704857628304665
1975-07-03,6.24,0.00023905188459135657,0.004738949675686667
1975-07-04,6.24,0.00023905188459135657,0.004781852216442945
1975-07-07,6.28,0.0002405840841482164,0.004625157753432285
1975-07-08,5.76,0.00022066530679268687,0.004845823060224972
1975-07-09,5.4,0.00020687515158425768,0.004854250470914489
1975-07-10,5.89,0.0002256450383277263,0.004886044567749439
1975-07-11,5.84,0.00022372975990275385,0.004915923386159416
1975-07-14,5.92,0.00022679420362197675,0.004745055976812682
1975-07-15,5.92,0.00022679420362197675,0.004971850180434658
1975-07-16,6.27,0.0002402010344790367,0.0050074744410196215
1975-07-17,6.07,0.00023254001028437735,0.005031990112855598
1975-07-18,6.07,0.00023254001028437735,0.005050376810386842
1975-07-21,6.08,0.0002329230628881205,0.00486265446212807
1975-07-22,6.1,0.00023368916765519718,0.005096343629783268
1975-07-23,6.5,0.00024901113974644146,0.005119709731201984
1975-07-24,6.31,0.00024173323227517194,0.005133499595881508
1975-07-25,6.31,0.00024173323227517194,0.005140394504451224
1975-07-28,6.26,0.00023981798466312992,0.004885254615924092
1975-07-29,6.16,0.00023598747843493447,0.005121242094359026
1975-07-30,6.11,0.00023407221981853096,0.005126604837999856
1975-07-31,6.23,0.0002386688343354898,0.005365273672335346
1975-08-01,6.24,0.00023905188459135657,0.005369870285091344
1975-08-04,6.26,0.00023981798466312992,0.004902875024394061
1975-08-05,6.15,0.0002356044270052441,0.005138479451399305
1975-08-06,5.3,0.00020304451916601475,0.00534152397056532
